ID,DifficultyID,Category,DefenseType,DispelType,Mechanic,PreventionType,StartRecoveryCategory,ChargeCategory,SpellID
70132,0,0,1,0,0,1,0,0,539
70133,0,0,1,0,0,1,0,0,540
70134,0,0,1,0,0,1,0,0,541
70136,0,56,1,1,0,1,133,0,543
70137,0,0,1,0,0,1,0,0,601
70138,0,21,1,1,0,1,0,0,134
70140,0,0,1,0,0,1,0,0,490
70141,0,0,1,0,0,1,0,0,461
70142,0,0,1,0,0,1,0,0,535
70143,0,0,1,0,0,1,0,0,485
70144,0,0,1,0,0,1,0,0,486
70145,0,0,1,0,0,1,0,0,487
70146,0,0,1,0,0,1,0,0,488
70147,0,0,0,0,21,0,0,0,459
70151,0,56,1,0,0,1,133,0,633
70152,0,0,1,0,0,1,0,0,428
70153,0,0,1,1,0,1,133,0,172
70155,0,21,1,1,0,1,0,0,184
70156,0,0,1,0,0,1,133,0,403
70157,0,0,1,0,0,1,133,0,597
70158,0,0,1,0,0,1,133,0,598
70159,0,0,1,0,0,1,0,0,575
70161,0,0,1,0,0,1,0,0,577
70162,0,0,1,0,0,1,0,0,463
70163,0,0,1,0,0,1,0,0,481
70164,0,0,1,0,0,1,0,0,483
70166,0,0,1,0,0,1,0,0,14
70167,0,0,1,1,0,1,133,0,139
70168,0,0,1,0,0,1,0,0,142
70169,0,0,1,0,0,1,0,0,446
70170,0,0,1,0,0,1,0,0,447
70171,0,0,1,0,0,1,0,0,448
70172,0,0,1,0,0,1,0,0,450
70173,0,511,1,0,0,1,133,0,556
70174,0,0,1,0,0,1,0,0,557
70175,0,0,1,0,0,1,0,0,558
70176,0,0,1,0,0,1,0,0,559
70177,0,0,1,0,0,1,0,0,560
70178,0,0,1,0,0,1,0,0,561
70179,0,0,1,0,0,1,133,0,136
70180,0,0,1,1,7,1,133,0,512
70181,0,23,1,0,0,1,0,0,513
70182,0,0,1,0,0,1,0,0,519
70184,0,0,1,0,0,1,0,0,496
70185,0,0,1,0,0,1,0,0,497
70186,0,37,1,0,25,1,133,0,498
70187,0,0,1,1,0,1,0,0,67
70189,0,0,1,0,0,1,133,0,126
70190,0,0,1,1,0,0,0,0,128
70191,0,0,1,1,0,1,133,0,130
70192,0,0,1,1,0,1,133,0,132
70193,0,0,1,0,0,1,0,0,520
70194,0,0,1,0,0,1,0,0,619
70195,0,0,1,0,0,1,0,0,569
70196,0,0,1,0,0,1,0,0,570
70197,0,0,1,0,0,1,0,0,571
70198,0,0,1,0,0,1,0,0,573
70199,0,1,1,0,0,1,0,0,68
70200,0,47,0,0,0,0,0,0,71
70201,0,0,1,1,17,1,133,0,228
70202,0,51,1,1,11,1,133,0,246
70204,0,0,0,0,21,0,0,0,581
70205,0,0,1,0,0,1,133,0,585
70206,0,82,1,1,0,1,133,0,586
70207,0,0,1,0,0,1,133,0,587
70208,0,0,1,1,7,1,133,0,113
70209,0,0,1,0,0,1,133,0,688
70210,0,0,1,0,0,1,133,0,99
70211,0,0,1,0,0,1,0,0,7
70212,0,0,1,0,0,1,133,0,10
70213,0,44,1,1,0,1,0,0,11
70214,0,0,1,0,0,1,0,0,12
70215,0,1,0,0,0,0,0,0,260
70216,0,0,1,0,0,1,0,0,261
70217,0,0,1,0,0,1,0,0,262
