ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue[0],EffectMiscValue[1],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectSpellClassMask[0],EffectSpellClassMask[1],EffectSpellClassMask[2],EffectSpellClassMask[3],ImplicitTarget[0],ImplicitTarget[1],SpellID
35454,0,0,6,0,0,23,180000,0,0,1,0,0,0,0,0,0,0,43681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,43680
35455,0,0,6,0,0,491,0,-1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,43681
326148,0,0,6,0,0,23,180000,0,0,1,0,0,0,0,0,0,0,219004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,219003
326149,0,0,6,0,0,491,0,-1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,219004
678890,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,539
678891,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,528,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,540
678892,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2866,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,541
678894,0,0,6,0,0,69,0,165,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,543
678895,0,1,6,1,0,74,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,543
678896,0,0,6,0,0,98,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,43,0,0,0,0,0,0,0,1,0,601
678897,0,0,6,0,0,23,3000,-1,0,1,0,1,0,0,0,0,0,3052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,134
678898,0,0,24,0,0,0,0,0,0,1,0,1,7960,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10015
678899,0,0,6,1,0,28,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10074
678901,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6134,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,490
678902,0,0,35,0,0,15,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,461
678903,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6229,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,535
678904,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,485
678905,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,475,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,486
678906,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,246,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,487
678907,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,488
678908,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4268,0,0,0,0,0,0,0,1,0,459
678909,0,1,6,0,0,32,0,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,459
678913,0,0,67,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,633
678914,0,0,252,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,428
678915,0,0,6,0,0,3,3000,9,0.08,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,172
678917,0,0,6,0,0,23,3000,-1,0,1,0,1,0,0,0,0,0,3053,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,184
678918,0,0,2,0,0,0,0,12,0.123,1,0,3,0,0,0,0,0.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,403
678919,0,0,24,0,0,0,0,1,0,1,0,1,1113,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,597
678920,0,0,2,0,0,0,0,53,0.554,1,0,9,0,0,0,0,0.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,598
