ID,Attributes[0],Attributes[1],Attributes[2],Attributes[3],Attributes[4],Attributes[5],Attributes[6],Attributes[7],Attributes[8],Attributes[9],Attributes[10],Attributes[11],Attributes[12],Attributes[13],Attributes[14],DifficultyID,CastingTimeIndex,DurationIndex,RangeIndex,SchoolMask,Speed,LaunchDelay,MinDuration,SpellIconFileDataID,ActiveIconFileDataID,ContentTuningID,ShowFutureSpellPlayerConditionID,SpellID
26979,763625472,168,16389,269486080,128,393224,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,132156,0,0,0,43680
26980,763625472,168,16385,269486080,128,393224,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,136072,0,0,0,43681
193020,763625472,168,16389,269484032,128,393224,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,132156,0,0,0,219003
193021,763625472,168,16385,269484032,128,393224,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,136072,0,0,0,219004
314052,65792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,539
314053,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,540
314054,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,541
314056,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,4,0,0,0,135806,0,0,0,543
314057,262352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,0,132223,0,0,0,601
314058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,0,0,135817,0,0,0,134
314059,65584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,1,0,0,0,136192,0,0,0,10015
314060,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,0,136222,0,0,0,10074
314062,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,490
314063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,1,2,0,0,0,135926,0,0,0,461
314064,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,535
314065,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,485
314066,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,486
314067,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,487
314068,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,136235,0,0,0,488
314069,269582608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,1,1,0,0,0,132266,136116,0,0,459
314073,327680,131074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,135928,0,0,0,633
314074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,136235,0,0,0,428
314075,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,4,32,0,0,0,136118,0,0,0,172
